City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,bama,11.5221,13.6856,85.46,27,65,6.2,NG,1681172881
218,kaitangata,-46.2817,169.8464,56.61,95,98,5.39,NZ,1681172881
219,bud,39.447,-86.1758,66.15,36,69,3.47,US,1681172881
220,vila do maio,15.1333,-23.2167,70.59,67,75,14.38,CV,1681172881
221,cherskiy,68.75,161.3,4.12,68,2,2.46,RU,1681172881
222,wick,58.4333,-3.0833,42.85,87,80,12.66,GB,1681172881
223,alyangula,-13.8483,136.4192,83.34,71,86,6.53,AU,1681172881
224,pitimbu,-7.4706,-34.8086,79.39,75,100,8.03,BR,1681172882
225,campo de criptana,39.4046,-3.1249,57.43,41,39,5.44,ES,1681172882
226,alice springs,-23.7,133.8833,83.75,17,34,14.97,AU,1681172882
227,lagoa,39.05,-27.9833,60.4,82,96,13.35,PT,1681172883
228,yumen,40.2833,97.2,42.01,21,38,6.42,CN,1681172883
229,lazarev,52.225,141.5131,27.81,73,15,3.76,RU,1681172883
230,riyadh,24.6877,46.7219,77.14,37,87,3.56,SA,1681172716
231,provideniya,64.3833,-173.3,0.36,55,0,8.99,RU,1681172884
232,surgut,61.25,73.4167,-0.22,78,40,11.18,RU,1681172884
233,kahului,20.8947,-156.47,82.42,64,40,24.16,US,1681172884
234,astana,51.1801,71.446,33.75,69,0,11.18,KZ,1681172820
235,havre-saint-pierre,50.2334,-63.5986,39.56,60,75,9.22,CA,1681172884
236,belle glade,26.6845,-80.6676,73.02,72,79,17.31,US,1681172884
237,guerrero negro,27.9769,-114.0611,64.98,69,4,18.28,MX,1681172826
238,lerwick,60.1545,-1.1494,44.6,94,50,0.34,GB,1681172885
239,bethanien,-26.502,17.1583,50.88,29,0,1.68,NA,1681172885
240,svodna,45.0372,16.5383,39.42,82,20,2.53,BA,1681172885
241,tulum,20.2167,-87.4667,77.72,70,92,7.65,MX,1681172886
242,moerai,-22.4333,-151.3333,77.97,77,36,15.57,PF,1681172886
243,flinders,-34.5833,150.8552,68.05,61,39,7.0,AU,1681172886
244,rognan,67.0953,15.3878,41.14,84,15,8.5,NO,1681172887
245,baruun-urt,46.6806,113.2792,17.53,32,15,25.41,MN,1681172887
246,jinchang,38.4953,102.1739,45.25,32,83,6.04,CN,1681172887
247,narsaq,60.9167,-46.05,46.62,63,99,10.92,GL,1681172887
248,mayo,38.8876,-76.5119,60.12,53,0,9.22,US,1681172888
249,rovaniemi,66.5,25.7167,29.61,74,0,4.61,FI,1681172888
250,port hardy,50.6996,-127.4199,46.4,87,75,10.36,CA,1681172888
251,vila franca do campo,37.7167,-25.4333,61.21,94,43,4.47,PT,1681172889
252,vila velha,-20.3297,-40.2925,73.35,93,75,9.22,BR,1681172889
253,kirakira,-10.4544,161.9205,82.67,77,100,4.09,SB,1681172889
254,haines junction,60.7522,-137.5108,35.55,35,88,11.5,CA,1681172889
255,saskylakh,71.9167,114.0833,-1.52,95,97,13.47,RU,1681172889
256,maceio,-9.6658,-35.7353,76.44,94,20,4.61,BR,1681172890
257,azanka,58.0401,64.7893,25.09,67,25,8.16,RU,1681172890
258,roma,43.2128,-75.4557,53.74,48,0,0.0,US,1681172890
259,evensk,61.95,159.2333,22.95,55,100,20.4,RU,1681172890
260,oussouye,12.485,-16.5469,73.58,68,3,10.27,SN,1681172891
261,akureyri,65.6835,-18.0878,39.13,81,100,6.91,IS,1681172891
262,kununurra,-15.7667,128.7333,82.38,83,75,6.91,AU,1681172892
263,havelock,34.8791,-76.9013,55.4,71,0,8.05,US,1681172892
264,illela,13.7292,5.2975,87.96,11,100,9.15,NG,1681172892
265,shenjiamen,29.9576,122.298,60.01,95,87,15.95,CN,1681172892
266,rudnogorsk,57.2639,103.7519,17.62,89,100,8.46,RU,1681172892
267,didsbury,53.417,-2.2315,45.55,81,75,10.36,GB,1681172892
268,salalah,17.0151,54.0924,80.31,77,64,4.79,OM,1681172893
269,baykit,61.67,96.37,14.41,96,100,3.89,RU,1681172893
270,chancay,-11.5714,-77.2672,75.07,82,78,8.23,PE,1681172894
271,altamira,-3.2033,-52.2064,74.26,98,79,1.25,BR,1681172890
272,outjo,-20.1167,16.15,63.27,35,0,6.11,NA,1681172894
273,bengkulu,-3.8004,102.2655,75.54,86,59,3.51,ID,1681172894
274,yerbogachen,61.2767,108.0108,7.54,94,95,5.14,RU,1681172894
275,palmer,42.1584,-72.3287,59.41,32,0,5.75,US,1681172895
276,russell,32.3502,-85.1999,65.8,39,0,5.75,US,1681172895
277,lazaro cardenas,17.9583,-102.2,83.12,60,98,11.07,MX,1681172896
278,lavrentiya,65.5833,-171.0,-6.0,81,27,2.82,RU,1681172896
279,toora-khem,52.4675,96.11,16.61,80,89,3.24,RU,1681172896
280,beloit,42.5084,-89.0318,69.89,38,40,13.8,US,1681172897
281,nizwa,22.9333,57.5333,71.82,73,9,2.64,OM,1681172832
282,saint-georges,12.0564,-61.7485,80.28,83,20,19.57,GD,1681172657
283,bastia,42.6667,9.3333,55.29,57,0,4.61,FR,1681172897
284,tshane,-24.0196,21.8684,58.93,20,0,8.84,BW,1681172898
285,drovyanaya,51.5833,113.0333,17.13,56,70,19.84,RU,1681172898
286,gubkinskiy,64.434,76.5026,-6.57,90,100,14.41,RU,1681172898
287,belaya gora,68.5333,146.4167,1.94,81,100,7.76,RU,1681172898
288,huamachuco,-7.8,-78.0667,53.44,82,97,1.52,PE,1681172898
289,pinawa,50.1489,-95.8811,43.61,94,99,10.56,CA,1681172900
290,longyearbyen,78.2186,15.6401,24.64,86,75,6.91,SJ,1681172900
291,ixtapa,20.7,-105.2,78.03,78,40,13.8,MX,1681172900
292,shizunai,42.3339,142.3669,46.96,89,83,7.2,JP,1681172900
293,santa catalina,9.3337,122.8637,84.18,73,100,3.36,PH,1681172900
294,bonthe,7.5264,-12.505,79.12,83,84,6.78,SL,1681172901
295,carauari,-4.8828,-66.8958,74.52,94,92,0.56,BR,1681172901
296,brigantine,39.4101,-74.3646,53.04,61,0,11.5,US,1681172901
297,san agustin,20.5333,-103.4667,83.52,12,75,11.5,MX,1681172901
298,puerto baquerizo moreno,-0.9,-89.6,81.07,70,57,2.51,EC,1681172902
299,kot kapura,30.5833,74.9,71.89,27,75,2.86,IN,1681172902
300,conde,-7.2597,-34.9075,78.26,89,0,4.61,BR,1681172902
301,sur,22.5667,59.5289,80.56,55,15,6.04,OM,1681172902
302,artyom,40.4723,50.333,53.74,78,100,8.68,AZ,1681172904
303,san quintin,30.4833,-115.95,62.15,73,2,13.13,MX,1681172904
304,moose factory,51.2585,-80.6094,50.0,49,0,8.05,CA,1681172904
305,yulara,-25.2406,130.9889,83.17,25,100,14.9,AU,1681172905
306,hervey bay,-25.2986,152.8535,77.02,44,15,9.98,AU,1681172905
307,baraki barak,33.9675,68.9486,54.39,51,29,0.56,AF,1681172905
308,los llanos de aridane,28.6585,-17.9182,65.95,64,0,13.8,ES,1681172905
309,hare bay,48.8499,-54.0148,34.95,96,20,4.16,CA,1681172906
310,emerald,-23.5333,148.1667,77.34,33,1,7.99,AU,1681172790
311,ust-maya,60.4167,134.5333,9.75,83,37,3.78,RU,1681172907
312,chingirlau,51.095,54.0814,42.24,50,0,5.75,KZ,1681172907
313,norman wells,65.282,-126.8329,26.64,80,100,18.41,CA,1681172907
314,keffi,8.8486,7.8736,83.86,56,99,1.52,NG,1681172907
315,labuhan,-6.8844,112.2051,78.55,81,97,5.97,ID,1681172908
316,marquette,46.5333,-87.6335,50.77,54,99,5.86,US,1681172652
317,manzil salim,35.8567,8.4765,44.53,53,1,2.71,TN,1681172908
318,iraan,30.914,-101.8979,82.15,16,13,3.0,US,1681172909
319,keti bandar,24.1447,67.4497,76.6,69,15,10.49,PK,1681172910
320,cayenne,4.9333,-52.3333,77.04,88,20,0.0,GF,1681172910
321,rondonopolis,-16.4708,-54.6356,74.57,88,96,2.15,BR,1681172910
322,snezhnogorsk,69.1933,33.2531,29.98,98,100,9.06,RU,1681172910
323,kaeo,-35.1,173.7833,71.33,89,43,12.97,NZ,1681172911
324,chicaman,15.4,-90.7667,67.32,50,81,4.18,GT,1681172911
325,muroto,33.2833,134.15,64.06,74,62,10.63,JP,1681172911
326,teguldet,57.3064,88.1667,32.38,91,99,13.56,RU,1681172913
327,pombal,-6.7703,-37.8017,78.03,63,34,6.93,BR,1681172913
328,tandalti,13.0167,31.8667,84.65,14,98,11.21,SD,1681172913
329,beringovskiy,63.05,179.3167,10.31,78,98,20.96,RU,1681172914
330,atar,20.5169,-13.0499,79.79,29,60,3.13,MR,1681172914
331,kruisfontein,-34.0033,24.7314,58.89,70,24,23.69,ZA,1681172914
332,riachao,-7.3619,-46.6172,73.08,92,96,2.51,BR,1681172915
333,taseyevo,57.2169,94.8978,35.28,76,100,10.67,RU,1681172915
334,caravelas,-17.7125,-39.2481,75.43,89,83,14.45,BR,1681172916
335,harper,4.375,-7.7169,80.26,81,100,3.6,LR,1681172916
336,cabo san lucas,22.8909,-109.9124,86.31,38,75,6.91,MX,1681172772
337,palatka,29.6486,-81.6376,64.36,92,42,1.99,US,1681172916
338,viedma,-40.8135,-62.9967,55.78,70,100,11.88,AR,1681172916
339,darhan,49.4867,105.9228,21.58,45,0,7.54,MN,1681172917
340,marion,39.7684,-86.1555,66.52,34,75,3.44,US,1681172917
341,laguna de perlas,12.3429,-83.6712,79.0,71,7,10.85,NI,1681172917
342,touros,-5.1989,-35.4608,78.4,81,32,10.29,BR,1681172714
343,urcos,-13.6861,-71.6228,57.09,90,60,5.95,PE,1681172918
344,tonekabon,36.8163,50.8738,57.15,71,81,1.19,IR,1681172918
345,pokhara,28.2333,83.9833,66.2,25,1,7.56,NP,1681172918
346,seoul,37.5683,126.9778,62.17,67,75,23.02,KR,1681172918
347,daru,-9.0763,143.2092,83.43,74,91,2.55,PG,1681172919
348,putatan,5.9258,116.0609,80.62,83,20,5.01,MY,1681172919
349,sitrah,26.1547,50.6206,75.94,73,0,10.36,BH,1681172919
